,Mitigation,Impacts,Causes,Hazard,Adaptation,Invalid
2025-11-14,0.0,0.8,0.8,0.0,0.8,0.0
2025-11-15,0.0,0.0,0.0,0.0,0.9,0.0
2025-11-16,3.5,0.0,0.8,0.0,0.8,1.5
2025-11-17,3.3,0.0,0.8,1.6,1.6,0.7
2025-11-18,1.7000000000000002,0.0,0.0,0.0,0.0,0.0
2025-11-19,1.7000000000000002,0.0,0.0,0.0,0.9,1.4
2025-11-20,0.9,0.9,0.0,0.0,0.0,0.0
2025-11-21,0.0,0.0,0.0,0.8,0.0,2.0999999999999996
2025-11-22,0.9,0.0,0.0,0.0,0.8,1.4
2025-11-23,0.9,0.0,0.0,0.0,0.0,2.0999999999999996
2025-11-24,1.8,0.0,0.0,0.0,0.0,0.0
2025-11-25,0.0,0.0,0.0,0.0,0.0,2.0999999999999996
2025-11-26,0.0,0.0,0.0,0.8,0.0,0.7
2025-11-27,0.0,0.0,0.0,0.0,0.0,5.7
2025-11-28,0.9,0.0,0.0,0.0,0.0,2.0999999999999996
2025-11-29,2.5,0.0,0.0,0.9,0.0,4.2
2025-11-30,0.0,0.0,0.0,0.0,0.0,1.5
2025-12-01,0.9,0.0,0.0,0.8,0.0,2.0999999999999996
2025-12-02,0.0,0.0,0.9,0.0,0.9,0.0
2025-12-03,0.0,0.0,0.0,0.0,0.9,1.5
2025-12-04,0.7,0.0,0.0,0.0,0.0,0.7
2025-12-05,0.9,0.0,0.0,0.0,0.0,0.0
2025-12-07,0.0,0.0,0.8,0.0,0.0,1.4
2025-12-08,0.0,0.0,0.7,0.8,0.7,3.5
2025-12-09,0.6,0.0,0.0,0.0,0.0,4.4
2025-12-10,0.0,0.0,0.8,0.0,0.0,2.8
2025-12-11,1.8,0.0,0.0,0.0,0.0,2.8
2025-12-12,1.8,0.0,0.0,0.0,0.0,2.0999999999999996
2025-12-13,0.7,0.0,0.0,0.0,0.0,2.8
2025-12-14,0.0,0.0,0.0,0.0,0.0,2.8
2025-12-15,1.6,0.0,0.0,0.7,0.9,2.8
2025-12-16,2.7,0.0,0.0,0.0,0.0,2.2
2025-12-17,1.8,0.0,0.0,0.0,1.7000000000000002,2.0999999999999996
2025-12-18,1.6,0.0,0.0,0.8,0.0,6.400000000000001
2025-12-19,0.7,0.0,0.0,0.0,0.0,0.0
2025-12-20,0.0,0.0,0.0,0.0,0.0,0.7
2025-12-21,0.7,0.0,0.0,0.0,0.7,0.0
2025-12-22,0.9,0.8,0.0,0.0,0.9,0.0
2025-12-23,0.9,0.0,0.0,0.0,0.0,0.0
2025-12-24,1.5,0.0,0.0,0.0,0.0,1.4
2025-12-25,1.4,0.0,0.0,0.0,0.0,0.7
2025-12-26,3.1999999999999997,0.0,0.0,0.55,0.0,1.4
2025-12-27,0.0,0.0,0.0,0.0,0.0,0.7
2025-12-28,0.0,0.0,0.0,0.0,0.0,0.7
2025-12-29,0.8,0.0,0.0,0.0,0.0,3.5
2025-12-30,0.6,0.0,0.0,0.0,1.6,5.000000000000001
2025-12-31,0.0,0.0,0.0,0.0,0.0,1.4
2026-01-01,0.0,0.0,0.8,0.0,0.9,0.7
2026-01-02,1.8,0.0,0.0,0.6,0.0,2.0999999999999996
2026-01-04,0.0,0.0,0.0,0.0,0.0,0.7
2026-01-05,0.0,0.0,0.0,0.8,0.0,0.0
2026-01-06,0.0,0.0,0.8,0.0,0.0,0.0
2026-01-07,0.7,0.0,0.0,0.8,0.0,2.0999999999999996
2026-01-08,1.8,0.0,0.0,0.0,0.0,1.4
2026-01-09,0.0,0.0,0.0,0.0,0.7,1.5
2026-01-11,0.9,0.0,0.0,0.0,0.0,1.4
2026-01-12,2.5,0.0,0.0,0.0,0.8,0.7
2026-01-14,3.8999999999999995,0.0,0.0,0.0,0.0,0.0
2026-01-15,0.7,0.0,0.0,0.0,0.0,0.7
2026-01-16,2.6,0.0,0.0,0.8,2.9999999999999996,2.8
2026-01-17,0.9,0.0,0.0,0.0,0.8,0.7
2026-01-18,0.0,0.0,0.8,0.8,0.0,0.0
2026-01-19,1.8,0.0,0.0,0.0,0.0,1.4
2026-01-20,0.7,0.0,0.0,0.0,0.0,2.8
2026-01-21,0.9,0.0,0.0,0.0,0.9,2.0999999999999996
2026-01-22,0.9,0.0,0.0,0.0,0.0,1.4
2026-01-23,1.8,0.0,0.8,0.0,0.8,1.4
2026-01-25,0.0,0.0,0.8,0.0,0.9,0.7
2026-01-26,0.7,0.0,0.0,0.0,0.0,0.7
2026-01-27,1.6,0.0,0.0,0.0,0.0,2.2
2026-01-28,0.0,0.0,0.8,0.0,0.0,5.7
2026-01-29,0.7,0.0,0.8,1.5,0.0,2.0999999999999996
2026-01-30,0.0,0.0,0.0,0.0,0.7,0.7
2026-01-31,1.8,0.0,0.0,0.0,0.0,0.7
2026-02-01,0.9,0.0,0.0,0.8,0.0,0.7
2026-02-02,0.9,0.0,0.8,0.0,0.8,0.7
2026-02-03,2.6,0.0,0.0,0.0,0.0,2.0999999999999996
2026-02-04,1.8,0.0,0.7,0.0,0.0,2.8
2026-02-05,0.0,0.6,0.0,0.0,0.0,1.5
2026-02-06,0.0,0.0,0.0,0.0,0.0,2.0999999999999996
2026-02-07,0.0,0.0,0.0,0.0,0.0,1.4
2026-02-08,0.0,0.0,0.0,0.0,0.0,1.4
2026-02-09,1.8,0.0,0.0,0.0,0.9,4.9
2026-02-10,6.5,0.0,0.0,0.0,0.0,5.6000000000000005
2026-02-11,3.4,0.0,0.0,0.7,0.0,0.7
2026-02-12,0.9,0.0,0.0,0.0,0.0,1.4
2026-02-13,0.0,0.0,0.0,0.0,0.0,0.7
2026-02-14,0.9,0.0,0.0,0.0,0.0,0.0
2026-02-16,0.0,0.0,0.0,0.7,0.0,0.0
2026-02-17,3.0999999999999996,0.0,0.0,0.8,0.8,0.7
